survey_id;vol_id;numero_vol;date_vol;route;courrier;classe;note_globale;note_confort;note_repas;note_divertissement;note_equipage;note_ponctualite;note_enregistrement;nps_categorie;recommandation;type_voyageur;programme_fidelite;nationalite
SAT-000000;VOL-000879;AF7626;2023-01-15;CDG → NTE;Court-courrier;Business;8.2;9.4;8.3;7.2;8.5;7.5;8.5;Passif;Peut-être;Affaires;Non inscrit;Américaine
SAT-000001;VOL-008675;AF7626;2023-05-26;CDG → NTE;Court-courrier;Premium Éco;7.8;8.1;7.7;7.3;7.0;10.0;6.0;Passif;Oui;Affaires;Non inscrit;Française
SAT-000002;VOL-037990;AF0292;2024-10-05;CDG → PVG;Long-courrier;Économique;7.9;8.0;6.8;7.4;9.4;9.1;7.4;Passif;Oui;Famille;Explorer;Américaine
SAT-000003;VOL-034232;AF7128;2024-08-03;ORY → MRS;Court-courrier;Économique;7.9;6.3;7.6;7.1;8.3;9.9;7.9;Passif;Peut-être;Famille;Non inscrit;Britannique
SAT-000004;VOL-045459;AF0324;2025-02-09;CDG → DXB;Long-courrier;Économique;7.5;6.6;6.8;8.9;9.5;7.7;6.1;Passif;Oui;Affaires;Non inscrit;Française
SAT-000005;VOL-037677;AF1192;2024-09-30;CDG → ZRH;Court-courrier;Premium Éco;8.7;9.3;8.3;7.1;10.0;9.5;5.1;Passif;Oui;Loisirs;Non inscrit;Française
SAT-000006;VOL-036601;AF1176;2024-09-12;CDG → BCN;Court-courrier;Économique;8.3;8.5;9.4;8.1;7.6;8.7;8.2;Passif;Oui;Solo;Platinum;Allemande
SAT-000007;VOL-009403;AF1263;2023-06-08;CDG → CMN;Court-courrier;Économique;5.9;6.5;5.3;7.6;7.2;1.0;9.0;Détracteur;Non;Loisirs;Non inscrit;Allemande
SAT-000008;VOL-012597;AF1209;2023-08-01;CDG → IST;Moyen-courrier;Économique;7.6;7.9;6.8;6.9;7.4;7.6;9.8;Passif;Peut-être;Loisirs;Non inscrit;Allemande
SAT-000009;VOL-015725;AF0298;2023-09-22;CDG → HKG;Long-courrier;Économique;6.9;7.9;5.5;6.2;7.4;9.7;7.9;Détracteur;Non;Affaires;Non inscrit;Française
